/home/hongyux/.conda/envs/TL/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:28: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
loss: 0.067714  [36160/158947]
loss: 0.065438  [36480/158947]
loss: 0.062555  [36800/158947]
loss: 0.066303  [37120/158947]
loss: 0.073752  [37440/158947]
loss: 0.064212  [37760/158947]
loss: 0.057917  [38080/158947]
loss: 0.064681  [38400/158947]
loss: 0.062965  [38720/158947]
loss: 0.063978  [39040/158947]
loss: 0.066762  [39360/158947]
loss: 0.059788  [39680/158947]
loss: 0.059320  [40000/158947]
loss: 0.064096  [40320/158947]
loss: 0.064379  [40640/158947]
loss: 0.060198  [40960/158947]
loss: 0.067875  [41280/158947]
loss: 0.063632  [41600/158947]
loss: 0.065452  [41920/158947]
loss: 0.059608  [42240/158947]
loss: 0.066574  [42560/158947]
loss: 0.055059  [42880/158947]
loss: 0.063892  [43200/158947]
loss: 0.058190  [43520/158947]
loss: 0.057825  [43840/158947]
loss: 0.059892  [44160/158947]
loss: 0.061742  [44480/158947]
loss: 0.063374  [44800/158947]
loss: 0.057099  [45120/158947]
loss: 0.070714  [45440/158947]
loss: 0.066817  [45760/158947]
loss: 0.064775  [46080/158947]
loss: 0.060135  [46400/158947]
loss: 0.064887  [46720/158947]
loss: 0.064501  [47040/158947]
loss: 0.057719  [47360/158947]
loss: 0.066426  [47680/158947]
loss: 0.064444  [48000/158947]
loss: 0.056376  [48320/158947]
loss: 0.058325  [48640/158947]
loss: 0.059640  [48960/158947]
loss: 0.064457  [49280/158947]
loss: 0.057926  [49600/158947]
loss: 0.057184  [49920/158947]
loss: 0.060769  [50240/158947]
loss: 0.055947  [50560/158947]
loss: 0.059905  [50880/158947]
loss: 0.059331  [51200/158947]
loss: 0.060060  [51520/158947]
loss: 0.068268  [51840/158947]
loss: 0.061074  [52160/158947]
loss: 0.059919  [52480/158947]
loss: 0.057635  [52800/158947]
loss: 0.059406  [53120/158947]
loss: 0.065758  [53440/158947]
loss: 0.052078  [53760/158947]
loss: 0.056439  [54080/158947]
loss: 0.059146  [54400/158947]
loss: 0.058310  [54720/158947]
loss: 0.063131  [55040/158947]
loss: 0.062213  [55360/158947]
loss: 0.059093  [55680/158947]
loss: 0.068418  [56000/158947]
loss: 0.068546  [56320/158947]
loss: 0.059446  [56640/158947]
loss: 0.056407  [56960/158947]
loss: 0.053680  [57280/158947]
loss: 0.063325  [57600/158947]
loss: 0.062573  [57920/158947]
loss: 0.062901  [58240/158947]
loss: 0.057416  [58560/158947]
loss: 0.067015  [58880/158947]
loss: 0.067900  [59200/158947]
loss: 0.063678  [59520/158947]
loss: 0.058345  [59840/158947]
loss: 0.067728  [60160/158947]
loss: 0.062702  [60480/158947]
loss: 0.058123  [60800/158947]
loss: 0.057417  [61120/158947]
loss: 0.061692  [61440/158947]
loss: 0.062798  [61760/158947]
loss: 0.061389  [62080/158947]
loss: 0.062631  [62400/158947]
loss: 0.061619  [62720/158947]
loss: 0.061861  [63040/158947]
loss: 0.054495  [63360/158947]
loss: 0.052912  [63680/158947]
loss: 0.070669  [64000/158947]
loss: 0.058030  [64320/158947]
loss: 0.059434  [64640/158947]
loss: 0.061462  [64960/158947]
loss: 0.059438  [65280/158947]
loss: 0.062164  [65600/158947]
loss: 0.054565  [65920/158947]
loss: 0.056666  [66240/158947]
loss: 0.051986  [66560/158947]
loss: 0.055851  [66880/158947]
loss: 0.062823  [67200/158947]
loss: 0.060368  [67520/158947]
loss: 0.063827  [67840/158947]
loss: 0.056059  [68160/158947]
loss: 0.053308  [68480/158947]
loss: 0.054682  [68800/158947]
loss: 0.067134  [69120/158947]
loss: 0.066874  [69440/158947]
loss: 0.067769  [69760/158947]
loss: 0.060016  [70080/158947]
loss: 0.060606  [70400/158947]
loss: 0.063067  [70720/158947]
loss: 0.058005  [71040/158947]
loss: 0.055304  [71360/158947]
loss: 0.066824  [71680/158947]
loss: 0.063502  [72000/158947]
loss: 0.054168  [72320/158947]
loss: 0.057437  [72640/158947]
loss: 0.066574  [72960/158947]
loss: 0.063402  [73280/158947]
loss: 0.069905  [73600/158947]
loss: 0.069626  [73920/158947]
loss: 0.056502  [74240/158947]
loss: 0.068398  [74560/158947]
loss: 0.062846  [74880/158947]
loss: 0.065243  [75200/158947]
loss: 0.081939  [75520/158947]
loss: 0.063689  [75840/158947]
loss: 0.067314  [76160/158947]
loss: 0.074767  [76480/158947]
loss: 0.058498  [76800/158947]
loss: 0.054258  [77120/158947]
loss: 0.060951  [77440/158947]
loss: 0.064807  [77760/158947]
loss: 0.069301  [78080/158947]
loss: 0.079235  [78400/158947]
loss: 0.069196  [78720/158947]
loss: 0.059151  [79040/158947]
loss: 0.056407  [79360/158947]
loss: 0.080540  [79680/158947]
loss: 0.065144  [80000/158947]
loss: 0.053630  [80320/158947]
loss: 0.061079  [80640/158947]
loss: 0.060106  [80960/158947]
loss: 0.068867  [81280/158947]
loss: 0.064186  [81600/158947]
loss: 0.064655  [81920/158947]
loss: 0.054946  [82240/158947]
loss: 0.069548  [82560/158947]
loss: 0.059363  [82880/158947]
loss: 0.058572  [83200/158947]
loss: 0.054055  [83520/158947]
loss: 0.055940  [83840/158947]
loss: 0.055938  [84160/158947]
loss: 0.057360  [84480/158947]
loss: 0.067810  [84800/158947]
loss: 0.054013  [85120/158947]
loss: 0.060281  [85440/158947]
loss: 0.054459  [85760/158947]
loss: 0.059242  [86080/158947]
loss: 0.062938  [86400/158947]
loss: 0.062758  [86720/158947]
loss: 0.061725  [87040/158947]
loss: 0.057975  [87360/158947]
loss: 0.062924  [87680/158947]
loss: 0.051838  [88000/158947]
loss: 0.066137  [88320/158947]
loss: 0.061510  [88640/158947]
loss: 0.062690  [88960/158947]
loss: 0.057258  [89280/158947]
loss: 0.057598  [89600/158947]
loss: 0.058504  [89920/158947]
loss: 0.059506  [90240/158947]
loss: 0.056557  [90560/158947]
loss: 0.059482  [90880/158947]
loss: 0.058951  [91200/158947]
loss: 0.051491  [91520/158947]
loss: 0.067042  [91840/158947]
loss: 0.061090  [92160/158947]
loss: 0.055265  [92480/158947]
loss: 0.062808  [92800/158947]
loss: 0.067152  [93120/158947]
loss: 0.063504  [93440/158947]
loss: 0.059519  [93760/158947]
loss: 0.053041  [94080/158947]
loss: 0.060636  [94400/158947]
loss: 0.070534  [94720/158947]
loss: 0.052891  [95040/158947]
loss: 0.055603  [95360/158947]
loss: 0.062486  [95680/158947]
loss: 0.060202  [96000/158947]
loss: 0.055584  [96320/158947]
loss: 0.055805  [96640/158947]
loss: 0.060586  [96960/158947]
loss: 0.052810  [97280/158947]
loss: 0.054177  [97600/158947]
loss: 0.059665  [97920/158947]
loss: 0.067062  [98240/158947]
loss: 0.051306  [98560/158947]
loss: 0.064691  [98880/158947]
loss: 0.054429  [99200/158947]
loss: 0.059694  [99520/158947]
loss: 0.065393  [99840/158947]
loss: 0.051802  [100160/158947]
loss: 0.058061  [100480/158947]
loss: 0.064348  [100800/158947]
loss: 0.065104  [101120/158947]
loss: 0.062945  [101440/158947]
loss: 0.055795  [101760/158947]
loss: 0.072248  [102080/158947]
loss: 0.054960  [102400/158947]
loss: 0.064430  [102720/158947]
loss: 0.060576  [103040/158947]
loss: 0.056087  [103360/158947]
loss: 0.051789  [103680/158947]
loss: 0.058686  [104000/158947]
loss: 0.065586  [104320/158947]
loss: 0.058775  [104640/158947]
loss: 0.062742  [104960/158947]
loss: 0.065140  [105280/158947]
loss: 0.059340  [105600/158947]
loss: 0.062109  [105920/158947]
loss: 0.048274  [106240/158947]
loss: 0.062620  [106560/158947]
loss: 0.070568  [106880/158947]
loss: 0.055700  [107200/158947]
loss: 0.064291  [107520/158947]
loss: 0.065257  [107840/158947]
loss: 0.055777  [108160/158947]
loss: 0.058358  [108480/158947]
loss: 0.069166  [108800/158947]
loss: 0.052717  [109120/158947]
loss: 0.064011  [109440/158947]
loss: 0.060466  [109760/158947]
loss: 0.065527  [110080/158947]
loss: 0.052654  [110400/158947]
loss: 0.064271  [110720/158947]
loss: 0.065218  [111040/158947]
loss: 0.062113  [111360/158947]
loss: 0.059268  [111680/158947]
loss: 0.066361  [112000/158947]
loss: 0.051298  [112320/158947]
loss: 0.062400  [112640/158947]
loss: 0.064182  [112960/158947]
loss: 0.067404  [113280/158947]
loss: 0.059974  [113600/158947]
loss: 0.062643  [113920/158947]
loss: 0.053962  [114240/158947]
loss: 0.059302  [114560/158947]
loss: 0.057891  [114880/158947]
loss: 0.051703  [115200/158947]
loss: 0.050957  [115520/158947]
loss: 0.059492  [115840/158947]
loss: 0.058385  [116160/158947]
loss: 0.051979  [116480/158947]
loss: 0.069001  [116800/158947]
loss: 0.070013  [117120/158947]
loss: 0.056110  [117440/158947]
loss: 0.062098  [117760/158947]
loss: 0.057601  [118080/158947]
loss: 0.060090  [118400/158947]
loss: 0.058182  [118720/158947]
loss: 0.060502  [119040/158947]
loss: 0.056977  [119360/158947]
loss: 0.064461  [119680/158947]
loss: 0.062162  [120000/158947]
loss: 0.064204  [120320/158947]
loss: 0.065629  [120640/158947]
loss: 0.064510  [120960/158947]
loss: 0.052272  [121280/158947]
loss: 0.060582  [121600/158947]
loss: 0.060703  [121920/158947]
loss: 0.059986  [122240/158947]
loss: 0.054674  [122560/158947]
loss: 0.053608  [122880/158947]
loss: 0.060328  [123200/158947]
loss: 0.052944  [123520/158947]
loss: 0.061362  [123840/158947]
loss: 0.058171  [124160/158947]
loss: 0.057933  [124480/158947]
loss: 0.067708  [124800/158947]
loss: 0.056043  [125120/158947]
loss: 0.055273  [125440/158947]
loss: 0.059848  [125760/158947]
loss: 0.056095  [126080/158947]
loss: 0.055058  [126400/158947]
loss: 0.058997  [126720/158947]
loss: 0.059158  [127040/158947]
loss: 0.056320  [127360/158947]
loss: 0.054311  [127680/158947]
loss: 0.055350  [128000/158947]
loss: 0.055237  [128320/158947]
loss: 0.055706  [128640/158947]
loss: 0.059531  [128960/158947]
loss: 0.061371  [129280/158947]
loss: 0.058204  [129600/158947]
loss: 0.062862  [129920/158947]
loss: 0.060004  [130240/158947]
loss: 0.060280  [130560/158947]
loss: 0.055589  [130880/158947]
loss: 0.062883  [131200/158947]
loss: 0.061490  [131520/158947]
loss: 0.063451  [131840/158947]
loss: 0.073596  [132160/158947]
loss: 0.061744  [132480/158947]
loss: 0.056946  [132800/158947]
loss: 0.058127  [133120/158947]
loss: 0.055971  [133440/158947]
loss: 0.060203  [133760/158947]
loss: 0.057850  [134080/158947]
loss: 0.055426  [134400/158947]
loss: 0.054108  [134720/158947]
loss: 0.060520  [135040/158947]
loss: 0.052346  [135360/158947]
loss: 0.064344  [135680/158947]
loss: 0.061467  [136000/158947]
loss: 0.055700  [136320/158947]
loss: 0.059553  [136640/158947]
loss: 0.062385  [136960/158947]
loss: 0.058647  [137280/158947]
loss: 0.056948  [137600/158947]
loss: 0.058569  [137920/158947]
loss: 0.055226  [138240/158947]
loss: 0.048992  [138560/158947]
loss: 0.056178  [138880/158947]
loss: 0.056654  [139200/158947]
loss: 0.061556  [139520/158947]
loss: 0.056652  [139840/158947]
loss: 0.056628  [140160/158947]
loss: 0.053198  [140480/158947]
loss: 0.054650  [140800/158947]
loss: 0.060032  [141120/158947]
loss: 0.059580  [141440/158947]
loss: 0.067824  [141760/158947]
loss: 0.060726  [142080/158947]
loss: 0.056444  [142400/158947]
loss: 0.059165  [142720/158947]
loss: 0.061306  [143040/158947]
loss: 0.056776  [143360/158947]
loss: 0.053656  [143680/158947]
loss: 0.060454  [144000/158947]
loss: 0.051075  [144320/158947]
loss: 0.059418  [144640/158947]
loss: 0.065923  [144960/158947]
loss: 0.062922  [145280/158947]
loss: 0.070290  [145600/158947]
loss: 0.054391  [145920/158947]
loss: 0.057503  [146240/158947]
loss: 0.056704  [146560/158947]
loss: 0.056192  [146880/158947]
loss: 0.060972  [147200/158947]
loss: 0.061588  [147520/158947]
loss: 0.052470  [147840/158947]
loss: 0.056347  [148160/158947]
loss: 0.062219  [148480/158947]
loss: 0.061392  [148800/158947]
loss: 0.070085  [149120/158947]
loss: 0.058474  [149440/158947]
loss: 0.063812  [149760/158947]
loss: 0.064007  [150080/158947]
loss: 0.059917  [150400/158947]
loss: 0.061062  [150720/158947]
loss: 0.059375  [151040/158947]
loss: 0.064457  [151360/158947]
loss: 0.058322  [151680/158947]
loss: 0.050840  [152000/158947]
loss: 0.061340  [152320/158947]
loss: 0.059368  [152640/158947]
loss: 0.067563  [152960/158947]
loss: 0.068228  [153280/158947]
loss: 0.057763  [153600/158947]
loss: 0.064228  [153920/158947]
loss: 0.060546  [154240/158947]
loss: 0.053352  [154560/158947]
loss: 0.057737  [154880/158947]
loss: 0.059248  [155200/158947]
loss: 0.059937  [155520/158947]
loss: 0.061154  [155840/158947]
loss: 0.057130  [156160/158947]
loss: 0.059039  [156480/158947]
loss: 0.059811  [156800/158947]
loss: 0.052845  [157120/158947]
loss: 0.056025  [157440/158947]
loss: 0.060620  [157760/158947]
loss: 0.067456  [158080/158947]
loss: 0.063176  [158400/158947]
loss: 0.059129  [158720/158947]
Epoch 1 results: Train loss: 0.062863, Val loss: 0.059277
Validation loss decreased (inf --> 0.059277). Saving model...
Saving best model to best_model.pth
Epoch 2/50
loss: 0.063583  [    0/158947]
loss: 0.063978  [  320/158947]
loss: 0.059574  [  640/158947]
loss: 0.060841  [  960/158947]
loss: 0.057066  [ 1280/158947]
loss: 0.054913  [ 1600/158947]
loss: 0.071135  [ 1920/158947]
loss: 0.054285  [ 2240/158947]
loss: 0.051318  [ 2560/158947]
loss: 0.067163  [ 2880/158947]
loss: 0.054387  [ 3200/158947]
loss: 0.062641  [ 3520/158947]
loss: 0.059862  [ 3840/158947]
loss: 0.063837  [ 4160/158947]
loss: 0.054029  [ 4480/158947]
loss: 0.061597  [ 4800/158947]
loss: 0.061655  [ 5120/158947]
loss: 0.051293  [ 5440/158947]
loss: 0.062974  [ 5760/158947]
loss: 0.061306  [ 6080/158947]
loss: 0.058885  [ 6400/158947]
loss: 0.063842  [ 6720/158947]
loss: 0.060739  [ 7040/158947]
loss: 0.053585  [ 7360/158947]
loss: 0.061162  [ 7680/158947]
loss: 0.057273  [ 8000/158947]
loss: 0.059716  [ 8320/158947]
loss: 0.052867  [ 8640/158947]
loss: 0.057419  [ 8960/158947]
loss: 0.055098  [ 9280/158947]
loss: 0.059818  [ 9600/158947]
loss: 0.072428  [ 9920/158947]
loss: 0.061070  [10240/158947]
loss: 0.055126  [10560/158947]
loss: 0.053968  [10880/158947]
loss: 0.065753  [11200/158947]
loss: 0.059037  [11520/158947]
loss: 0.054594  [11840/158947]
loss: 0.063148  [12160/158947]
loss: 0.065296  [12480/158947]
loss: 0.069057  [12800/158947]
loss: 0.061793  [13120/158947]
loss: 0.054907  [13440/158947]
loss: 0.058563  [13760/158947]
loss: 0.056052  [14080/158947]
loss: 0.052115  [14400/158947]
loss: 0.068552  [14720/158947]
loss: 0.062228  [15040/158947]
loss: 0.053930  [15360/158947]
loss: 0.057883  [15680/158947]
loss: 0.051346  [16000/158947]
loss: 0.062910  [16320/158947]
loss: 0.056402  [16640/158947]
loss: 0.055334  [16960/158947]
loss: 0.062136  [17280/158947]
loss: 0.059961  [17600/158947]
loss: 0.073330  [17920/158947]
loss: 0.071367  [18240/158947]
loss: 0.060357  [18560/158947]
loss: 0.059920  [18880/158947]
loss: 0.060037  [19200/158947]
loss: 0.051694  [19520/158947]
loss: 0.058053  [19840/158947]
loss: 0.054028  [20160/158947]
loss: 0.060329  [20480/158947]
loss: 0.051553  [20800/158947]
loss: 0.066870  [21120/158947]
loss: 0.057528  [21440/158947]
loss: 0.063641  [21760/158947]
loss: 0.062150  [22080/158947]
loss: 0.060553  [22400/158947]
loss: 0.055839  [22720/158947]
loss: 0.058661  [23040/158947]
loss: 0.054882  [23360/158947]
loss: 0.065888  [23680/158947]
loss: 0.056981  [24000/158947]
loss: 0.056138  [24320/158947]
loss: 0.077798  [24640/158947]
loss: 0.055793  [24960/158947]
loss: 0.068243  [25280/158947]
loss: 0.056180  [25600/158947]
loss: 0.066522  [25920/158947]
loss: 0.063382  [26240/158947]
loss: 0.056862  [26560/158947]
loss: 0.061585  [26880/158947]
loss: 0.064549  [27200/158947]
loss: 0.051881  [27520/158947]
loss: 0.061254  [27840/158947]
loss: 0.054167  [28160/158947]
loss: 0.062370  [28480/158947]
loss: 0.053564  [28800/158947]
loss: 0.054047  [29120/158947]
loss: 0.059781  [29440/158947]
loss: 0.059319  [29760/158947]
loss: 0.058897  [30080/158947]
loss: 0.067394  [30400/158947]
loss: 0.059343  [30720/158947]
loss: 0.057554  [31040/158947]
loss: 0.054538  [31360/158947]
loss: 0.058818  [31680/158947]
loss: 0.068879  [32000/158947]
loss: 0.066489  [32320/158947]
loss: 0.059371  [32640/158947]
loss: 0.053627  [32960/158947]
loss: 0.059900  [33280/158947]
loss: 0.060253  [33600/158947]
loss: 0.056559  [33920/158947]
loss: 0.051850  [34240/158947]
loss: 0.060591  [34560/158947]
loss: 0.059127  [34880/158947]
loss: 0.059097  [35200/158947]
loss: 0.053440  [35520/158947]
loss: 0.049070  [35840/158947]
loss: 0.053703  [36160/158947]
loss: 0.057705  [36480/158947]
loss: 0.055629  [36800/158947]
loss: 0.062704  [37120/158947]
loss: 0.058936  [37440/158947]
loss: 0.053990  [37760/158947]
loss: 0.056443  [38080/158947]
loss: 0.050114  [38400/158947]
loss: 0.052629  [38720/158947]
loss: 0.055421  [39040/158947]
loss: 0.057637  [39360/158947]
loss: 0.061435  [39680/158947]
loss: 0.062005  [40000/158947]
loss: 0.067176  [40320/158947]
loss: 0.062748  [40640/158947]
loss: 0.052103  [40960/158947]
loss: 0.061820  [41280/158947]
loss: 0.054292  [41600/158947]
loss: 0.058506  [41920/158947]
loss: 0.059813  [42240/158947]
loss: 0.057305  [42560/158947]
loss: 0.053711  [42880/158947]
loss: 0.066781  [43200/158947]
loss: 0.058206  [43520/158947]
loss: 0.053732  [43840/158947]
loss: 0.061467  [44160/158947]
loss: 0.056089  [44480/158947]
loss: 0.055282  [44800/158947]
loss: 0.063842  [45120/158947]
loss: 0.054376  [45440/158947]
loss: 0.066100  [45760/158947]
loss: 0.054584  [46080/158947]
loss: 0.058122  [46400/158947]
loss: 0.061178  [46720/158947]
loss: 0.054551  [47040/158947]
loss: 0.060340  [47360/158947]
loss: 0.058586  [47680/158947]
loss: 0.050710  [48000/158947]
loss: 0.059327  [48320/158947]
loss: 0.055879  [48640/158947]
loss: 0.057417  [48960/158947]
loss: 0.060384  [49280/158947]
loss: 0.062095  [49600/158947]
loss: 0.066092  [49920/158947]
loss: 0.057260  [50240/158947]
loss: 0.052851  [50560/158947]
loss: 0.055407  [50880/158947]
loss: 0.056025  [51200/158947]
loss: 0.055084  [51520/158947]
loss: 0.053476  [51840/158947]
loss: 0.066719  [52160/158947]
loss: 0.058789  [52480/158947]
loss: 0.052396  [52800/158947]
loss: 0.058517  [53120/158947]
loss: 0.057449  [53440/158947]
loss: 0.055246  [53760/158947]
loss: 0.050705  [54080/158947]
loss: 0.057693  [54400/158947]
loss: 0.062288  [54720/158947]
loss: 0.065380  [55040/158947]
loss: 0.065067  [55360/158947]
loss: 0.064419  [55680/158947]
loss: 0.060390  [56000/158947]
loss: 0.055952  [56320/158947]
loss: 0.061415  [56640/158947]
loss: 0.058438  [56960/158947]
loss: 0.056938  [57280/158947]
loss: 0.050375  [57600/158947]
loss: 0.054449  [57920/158947]
loss: 0.058196  [58240/158947]
loss: 0.058083  [58560/158947]
loss: 0.054508  [58880/158947]
loss: 0.059005  [59200/158947]
loss: 0.060601  [59520/158947]
loss: 0.062810  [59840/158947]
loss: 0.055309  [60160/158947]
loss: 0.061809  [60480/158947]
loss: 0.059539  [60800/158947]
loss: 0.060123  [61120/158947]
loss: 0.053646  [61440/158947]
loss: 0.053263  [61760/158947]
loss: 0.058355  [62080/158947]
loss: 0.053741  [62400/158947]
loss: 0.062009  [62720/158947]
loss: 0.062937  [63040/158947]
loss: 0.054325  [63360/158947]
loss: 0.056900  [63680/158947]
loss: 0.060775  [64000/158947]
loss: 0.064346  [64320/158947]
loss: 0.055521  [64640/158947]
loss: 0.050183  [64960/158947]
loss: 0.055654  [65280/158947]
loss: 0.058755  [65600/158947]
loss: 0.052132  [65920/158947]
loss: 0.060663  [66240/158947]
loss: 0.060811  [66560/158947]
loss: 0.071250  [66880/158947]
loss: 0.068636  [67200/158947]
loss: 0.059556  [67520/158947]
loss: 0.063492  [67840/158947]
loss: 0.065118  [68160/158947]
loss: 0.055886  [68480/158947]
loss: 0.062704  [68800/158947]
loss: 0.048835  [69120/158947]
loss: 0.059500  [69440/158947]
loss: 0.063636  [69760/158947]
loss: 0.053895  [70080/158947]
loss: 0.058830  [70400/158947]
loss: 0.057861  [70720/158947]
loss: 0.051897  [71040/158947]
loss: 0.057491  [71360/158947]
loss: 0.057358  [71680/158947]
loss: 0.053405  [72000/158947]
loss: 0.056624  [72320/158947]
loss: 0.062713  [72640/158947]
loss: 0.066060  [72960/158947]
loss: 0.056733  [73280/158947]
loss: 0.066425  [73600/158947]
loss: 0.058027  [73920/158947]
loss: 0.060577  [74240/158947]
loss: 0.061452  [74560/158947]
loss: 0.054410  [74880/158947]
loss: 0.059978  [75200/158947]
loss: 0.054497  [75520/158947]
loss: 0.081261  [75840/158947]
loss: 0.052403  [76160/158947]
loss: 0.059937  [76480/158947]
loss: 0.060571  [76800/158947]
loss: 0.057561  [77120/158947]
loss: 0.055364  [77440/158947]
loss: 0.053171  [77760/158947]
loss: 0.054121  [78080/158947]
loss: 0.058950  [78400/158947]
loss: 0.061886  [78720/158947]
loss: 0.059534  [79040/158947]
loss: 0.061644  [79360/158947]
loss: 0.068239  [79680/158947]
loss: 0.058329  [80000/158947]
loss: 0.057654  [80320/158947]
loss: 0.054376  [80640/158947]
loss: 0.054560  [80960/158947]
loss: 0.062864  [81280/158947]
loss: 0.066248  [81600/158947]
loss: 0.061493  [81920/158947]
loss: 0.058911  [82240/158947]
loss: 0.057905  [82560/158947]
loss: 0.072655  [82880/158947]
loss: 0.060461  [83200/158947]
loss: 0.058951  [83520/158947]
loss: 0.056164  [83840/158947]
loss: 0.055972  [84160/158947]
loss: 0.060298  [84480/158947]
loss: 0.065914  [84800/158947]
loss: 0.054630  [85120/158947]
loss: 0.058713  [85440/158947]
loss: 0.056437  [85760/158947]
loss: 0.062689  [86080/158947]
loss: 0.052658  [86400/158947]
loss: 0.054692  [86720/158947]
loss: 0.058563  [87040/158947]
loss: 0.056402  [87360/158947]
loss: 0.051106  [87680/158947]
loss: 0.056837  [88000/158947]
loss: 0.055997  [88320/158947]
loss: 0.070819  [88640/158947]
loss: 0.060464  [88960/158947]
loss: 0.062524  [89280/158947]
loss: 0.063137  [89600/158947]
loss: 0.056409  [89920/158947]
loss: 0.053484  [90240/158947]
loss: 0.056034  [90560/158947]
loss: 0.057505  [90880/158947]
loss: 0.051054  [91200/158947]
loss: 0.055375  [91520/158947]
loss: 0.057974  [91840/158947]
loss: 0.057248  [92160/158947]
loss: 0.061180  [92480/158947]
loss: 0.056713  [92800/158947]
loss: 0.057034  [93120/158947]
loss: 0.056165  [93440/158947]
loss: 0.058205  [93760/158947]
