Network Code,Station Code,Start Time,End Time
OK,CHOK,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,COLE,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,CROK,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,CSTR,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,DEOK,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,FNO,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,GORE,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,HTCH,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,LOOK,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,MOOR,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,NOKA,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS01,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS02,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS04,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS05,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS09,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS10,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS12,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS13,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS14,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,OS15,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,QUOK,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,RLO2,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,SMO,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,TISH,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,U32A,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,W35A,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,WLB2,2025-01-15T00:00:00,2025-02-16T00:00:00
OK,X34A,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,833A,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,ALPN,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,APMT,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,BRDY,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,CRHG,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,DKNS,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,DRZT,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,EF02,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,EF03,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,EF04,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,EF05,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,ET01,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FLRS,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW01,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW02,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW04,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW05,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW06,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW07,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW09,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW11,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW12,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW13,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW14,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,FW15,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,HBVL,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,INDO,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB01,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB02,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB03,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB05,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB06,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB08,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB09,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB10,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB11,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB12,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB13,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB15,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB16,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB18,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB19,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB21,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB22,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB23,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MB25,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MLDN,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,MNHN,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,ODSA,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,OZNA,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB01,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB02,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB03,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB04,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB05,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB06,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB07,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB08,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB09,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB10,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB11,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB12,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB13,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB14,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB16,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB17,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB18,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB19,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB20,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB21,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB22,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB23,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB24,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB25,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB26,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB28,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB29,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB30,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB31,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB32,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB33,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB34,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB35,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB36,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB37,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB38,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB39,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB40,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB43,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB44,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB46,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB47,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PB51,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PCOS,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PECS,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PH02,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PH03,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,PLPT,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,POST,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,RTBA,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SAND,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SGCY,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SMWD,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SN02,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SN03,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SN04,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SN07,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SN09,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,SNAG,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,TREL,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,VHRN,2025-01-15T00:00:00,2025-02-16T00:00:00
TX,WTFS,2025-01-15T00:00:00,2025-02-16T00:00:00
